,Coordinate,Distance,Predicted Class,Original Class
1,"[21, 13]",19.0,0.5320301651954651,0.4528503119945526
2,"[21, 15]",55.0,0.5138583183288574,0.4819425642490387
3,"[20, 15]",,,
4,"[21, 14]",,,
5,"[20, 14]",30.0,0.49321669340133667,0.49321669340133667
6,"[20, 13]",30.0,0.5353250503540039,0.4568420350551605
7,"[20, 16]",,,
8,"[17, 13]",28.0,0.5592966675758362,0.4312155842781067
9,"[20, 12]",20.0,0.49807411432266235,0.49807411432266235
10,"[21, 12]",,,
11,"[12, 23]",,,
12,"[17, 19]",13.0,0.6479754447937012,0.3494536876678467
13,"[19, 13]",14.0,0.5084325075149536,0.48767343163490295
14,"[19, 12]",,,
15,"[11, 23]",10.0,0.9992571473121643,0.0005456286016851664
16,"[18, 13]",19.0,0.5055611729621887,0.4906599521636963
17,"[16, 19]",10.0,0.6162889003753662,0.3810306489467621
18,"[19, 15]",,,
19,"[16, 21]",7.0,0.5001034140586853,0.4969472885131836
20,"[18, 14]",19.0,0.5208314061164856,0.47492027282714844
21,"[22, 13]",,,
22,"[13, 23]",34.0,0.5885757803916931,0.4079725742340088
23,"[19, 14]",13.0,0.49955371022224426,0.4966110587120056
24,"[16, 20]",10.0,0.5695847868919373,0.42730894684791565
25,"[12, 24]",10.0,0.9989562034606934,0.0007789346855133772
26,"[21, 16]",,,
27,"[18, 15]",36.0,0.5504669547080994,0.43845823407173157
28,"[20, 11]",57.0,0.5269395112991333,0.4689555764198303
29,"[18, 19]",29.0,0.4985576272010803,0.4985576272010803
30,"[16, 18]",4.0,0.517569899559021,0.47969958186149597
