,Coordinate,Distance,Predicted Class,Original Class
1,"[16, 13]",,,
2,"[17, 15]",49.0,0.5252863168716431,0.47346988320350647
3,"[16, 12]",,,
4,"[15, 14]",,,
5,"[16, 14]",59.0,0.500849723815918,0.49838346242904663
6,"[18, 13]",,,
7,"[15, 12]",10.0,0.9996874332427979,0.0002669055247679353
8,"[14, 15]",51.0,0.5023666024208069,0.4968491494655609
9,"[13, 15]",39.0,0.49978896975517273,0.49978896975517273
10,"[14, 14]",,,
11,"[14, 13]",5.0,0.9993257522583008,0.0005387032870203257
12,"[17, 13]",,,
13,"[18, 12]",,,
14,"[17, 12]",,,
15,"[15, 13]",10.0,0.9994781613349915,0.0003634118475019932
16,"[14, 12]",,,
17,"[12, 14]",22.0,0.5024685263633728,0.49693530797958374
18,"[17, 14]",55.0,0.5003104209899902,0.498934805393219
19,"[13, 14]",32.0,0.5056160688400269,0.493740051984787
20,"[12, 13]",39.0,0.5241080522537231,0.4752369821071625
21,"[27, 14]",25.0,0.510973334312439,0.4881892204284668
22,"[11, 13]",40.0,0.5131058096885681,0.4862191379070282
23,"[16, 15]",46.0,0.5107704401016235,0.4884936213493347
24,"[28, 12]",12.0,0.501552164554596,0.49783796072006226
25,"[15, 16]",38.0,0.4996722638607025,0.4996722638607025
26,"[22, 20]",,,
27,"[28, 13]",16.0,0.507287859916687,0.4921760559082031
28,"[29, 12]",30.0,0.5226132869720459,0.47608673572540283
29,"[28, 14]",24.0,0.4997263252735138,0.4995523691177368
30,"[21, 20]",42.0,0.5237529277801514,0.4756774306297302
