,Coordinate,Distance,Predicted Class,Original Class
1,"[15, 13]",10.0,0.9322800040245056,0.06607358902692795
2,"[15, 5]",,,
3,"[2, 4]",16.0,0.5527095794677734,0.4404962658882141
4,"[1, 2]",25.0,0.5062443017959595,0.48386669158935547
5,"[16, 6]",,,
6,"[16, 5]",,,
7,"[2, 3]",,,
8,"[23, 17]",45.0,0.4978235065937042,0.49617546796798706
9,"[14, 21]",13.0,0.5186878442764282,0.4647718667984009
10,"[3, 2]",19.0,0.5146027207374573,0.47278881072998047
11,"[3, 11]",10.0,0.7928184270858765,0.05958552658557892
12,"[2, 11]",13.0,0.5149766206741333,0.4749111831188202
13,"[24, 8]",36.0,0.5123041868209839,0.47403302788734436
14,"[1, 3]",33.0,0.5067484974861145,0.48428529500961304
15,"[1, 11]",18.0,0.49751344323158264,0.49751344323158264
16,"[3, 3]",8.0,0.5083491802215576,0.4807471036911011
17,"[15, 6]",33.0,0.4997793734073639,0.4918283522129059
18,"[22, 17]",,,
19,"[1, 12]",16.0,0.5110443234443665,0.4809895157814026
20,"[14, 4]",30.0,0.49706724286079407,0.49706724286079407
21,"[25, 17]",47.0,0.5240341424942017,0.46744686365127563
22,"[23, 9]",7.0,0.5033191442489624,0.4893125295639038
23,"[23, 15]",8.0,0.5057421922683716,0.48782241344451904
24,"[1, 10]",12.0,0.5020878314971924,0.488557368516922
25,"[0, 9]",61.0,0.4981624186038971,0.4981624186038971
26,"[1, 5]",19.0,0.5132195949554443,0.47953617572784424
27,"[25, 15]",20.0,0.5243850350379944,0.4691407382488251
28,"[14, 6]",15.0,0.5221453905105591,0.47157779335975647
29,"[2, 2]",21.0,0.4984268248081207,0.4937981963157654
30,"[0, 4]",34.0,0.49777543544769287,0.49777543544769287
