,Coordinate,Distance,Predicted Class,Original Class
1,"[2, 5]",,,
2,"[2, 6]",,,
3,"[1, 7]",,,
4,"[2, 7]",55.0,0.49316108226776123,0.49316108226776123
5,"[1, 6]",,,
6,"[1, 5]",,,
7,"[3, 4]",62.0,0.4935848116874695,0.4935848116874695
8,"[2, 4]",,,
9,"[3, 5]",48.0,0.4572901427745819,0.4572901427745819
10,"[4, 26]",5.0,0.7026134729385376,0.15583348274230957
11,"[19, 8]",29.0,0.47543641924858093,0.47543641924858093
12,"[23, 12]",30.0,0.49950528144836426,0.49950528144836426
13,"[18, 8]",25.0,0.4842143654823303,0.4842143654823303
14,"[4, 5]",16.0,0.4923535883426666,0.4923535883426666
15,"[18, 7]",,,
16,"[20, 9]",38.0,0.49203383922576904,0.49203383922576904
17,"[5, 3]",23.0,0.4998320937156677,0.4998320937156677
18,"[3, 6]",50.0,0.43432703614234924,0.43432703614234924
19,"[2, 3]",,,
20,"[16, 8]",41.0,0.4721170663833618,0.4721170663833618
21,"[3, 26]",5.0,0.6814364194869995,0.155671626329422
22,"[21, 10]",,,
23,"[22, 9]",31.0,0.4841337203979492,0.4841337203979492
24,"[30, 26]",10.0,0.43352803587913513,0.43352803587913513
25,"[22, 10]",43.0,0.49942344427108765,0.49942344427108765
26,"[5, 4]",15.0,0.4796234965324402,0.4796234965324402
27,"[25, 0]",5.0,0.31315308809280396,0.31315308809280396
28,"[26, 1]",,,
29,"[23, 11]",49.0,0.496926486492157,0.496926486492157
30,"[4, 4]",,,
