,Coordinate,Distance,Predicted Class,Original Class
1,"[14, 24]",50.0,0.4991268217563629,0.4991268217563629
2,"[13, 22]",,,
3,"[15, 23]",60.0,0.5077471137046814,0.48808375000953674
4,"[15, 24]",,,
5,"[13, 21]",,,
6,"[16, 25]",,,
7,"[19, 20]",,,
8,"[13, 23]",41.0,0.49862152338027954,0.49862152338027954
9,"[14, 23]",41.0,0.5176951885223389,0.4793809950351715
10,"[16, 24]",12.0,0.5522016882896423,0.44364094734191895
11,"[10, 20]",,,
12,"[16, 23]",22.0,0.5217233300209045,0.4747174382209778
13,"[14, 25]",51.0,0.5013963580131531,0.4941660165786743
14,"[9, 20]",,,
15,"[6, 8]",,,
16,"[14, 22]",35.0,0.5131914019584656,0.48184770345687866
17,"[12, 22]",,,
18,"[11, 9]",24.0,0.5016883015632629,0.4948641359806061
19,"[15, 25]",38.0,0.500839352607727,0.4943033754825592
20,"[12, 26]",72.0,0.5023059248924255,0.4927830100059509
21,"[14, 27]",,,
22,"[11, 20]",49.0,0.5044106841087341,0.4923394024372101
23,"[20, 21]",,,
24,"[12, 23]",49.0,0.5021300911903381,0.4946748912334442
25,"[6, 9]",,,
26,"[11, 11]",27.0,0.4998100996017456,0.4998100996017456
27,"[9, 21]",,,
28,"[13, 28]",53.0,0.5225633978843689,0.47152477502822876
29,"[8, 8]",,,
30,"[10, 21]",,,
